date,freq,Date,holiday,weekday,weekend,mon,tue,wed,thurs,fri,sat,sun,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
4/1/2014,11730,4/1/2014,0,2,0,0,1,0,0,0,0,0,4/1/2014,0,0,0,156,39
4/2/2014,14500,4/2/2014,0,3,0,0,0,1,0,0,0,0,4/2/2014,0,0,0,122,56
4/3/2014,17235,4/3/2014,0,4,0,0,0,0,1,0,0,0,4/3/2014,18,0,0,194,78
4/4/2014,22582,4/4/2014,0,5,0,0,0,0,0,1,0,0,4/4/2014,53,0,0,83,44
4/5/2014,14741,4/5/2014,0,6,1,0,0,0,0,0,1,0,4/5/2014,0,0,0,122,44
4/6/2014,9209,4/6/2014,0,7,1,0,0,0,0,0,0,1,4/6/2014,0,0,0,161,22
4/7/2014,16249,4/7/2014,0,1,0,1,0,0,0,0,0,0,4/7/2014,132,0,0,117,61
4/8/2014,13312,4/8/2014,0,2,0,0,1,0,0,0,0,0,4/8/2014,86,0,0,178,78
4/9/2014,13800,4/9/2014,0,3,0,0,0,1,0,0,0,0,4/9/2014,0,0,0,161,72
4/10/2014,16424,4/10/2014,0,4,0,0,0,0,1,0,0,0,4/10/2014,0,0,0,144,56
4/11/2014,16530,4/11/2014,0,5,0,0,0,0,0,1,0,0,4/11/2014,0,0,0,239,133
4/12/2014,13579,4/12/2014,0,6,1,0,0,0,0,0,1,0,4/12/2014,0,0,0,228,100
4/13/2014,8289,4/13/2014,0,7,1,0,0,0,0,0,0,1,4/13/2014,0,0,0,250,122
4/14/2014,9663,4/14/2014,0,1,0,1,0,0,0,0,0,0,4/14/2014,0,0,0,239,150
4/15/2014,17334,4/15/2014,0,2,0,0,1,0,0,0,0,0,4/15/2014,180,0,0,172,6
4/16/2014,14520,4/16/2014,0,3,0,0,0,1,0,0,0,0,4/16/2014,13,0,0,94,-5
4/17/2014,17512,4/17/2014,0,4,0,0,0,0,1,0,0,0,4/17/2014,0,0,0,89,22
4/18/2014,14454,4/18/2014,0,5,0,0,0,0,0,1,0,0,4/18/2014,0,0,0,94,17
4/19/2014,10755,4/19/2014,0,6,1,0,0,0,0,0,1,0,4/19/2014,0,0,0,200,50
4/20/2014,7443,4/20/2014,0,7,1,0,0,0,0,0,0,1,4/20/2014,0,0,0,156,72
4/21/2014,10011,4/21/2014,0,1,0,1,0,0,0,0,0,0,4/21/2014,0,0,0,194,50
4/22/2014,13933,4/22/2014,0,2,0,0,1,0,0,0,0,0,4/22/2014,3,0,0,217,106
4/23/2014,16936,4/23/2014,0,3,0,0,0,1,0,0,0,0,4/23/2014,0,0,0,161,67
4/24/2014,19461,4/24/2014,0,4,0,0,0,0,1,0,0,0,4/24/2014,0,0,0,167,56
4/25/2014,20750,4/25/2014,0,5,0,0,0,0,0,1,0,0,4/25/2014,5,0,0,172,67
4/26/2014,19388,4/26/2014,0,6,1,0,0,0,0,0,1,0,4/26/2014,234,0,0,194,78
