date,freq,Date.x,holiday.x,weekday.x,weekend.x,mon.x,tue.x,wed.x,thurs.x,fri.x,sat.x,sun.x,Date.y,holiday.y,weekday.y,weekend.y,mon.y,tue.y,wed.y,thurs.y,fri.y,sat.y,sun.y,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
1/1/2015,38144,1/1/2015,1,4,0,0,0,0,1,0,0,0,1/1/2015,1,4,0,0,0,0,1,0,0,0,1/1/2015,0,0,0,39,-27
1/2/2015,27867,1/2/2015,0,5,0,0,0,0,0,1,0,0,1/2/2015,0,5,0,0,0,0,0,1,0,0,1/2/2015,0,0,0,56,17
1/3/2015,42167,1/3/2015,0,6,1,0,0,0,0,0,1,0,1/3/2015,0,6,1,0,0,0,0,0,1,0,1/3/2015,180,0,0,56,6
1/4/2015,26306,1/4/2015,0,7,1,0,0,0,0,0,0,1,1/4/2015,0,7,1,0,0,0,0,0,0,1,1/4/2015,76,0,0,133,50
1/5/2015,31036,1/5/2015,0,1,0,1,0,0,0,0,0,0,1/5/2015,0,1,0,1,0,0,0,0,0,0,1/5/2015,0,0,0,94,-60
1/6/2015,41485,1/6/2015,0,2,0,0,1,0,0,0,0,0,1/6/2015,0,2,0,0,1,0,0,0,0,0,1/6/2015,13,0,25,-55,-71
1/7/2015,49607,1/7/2015,0,3,0,0,0,1,0,0,0,0,1/7/2015,0,3,0,0,0,1,0,0,0,0,1/7/2015,0,30,0,-49,-127
1/8/2015,57947,1/8/2015,0,4,0,0,0,0,1,0,0,0,1/8/2015,0,4,0,0,0,0,1,0,0,0,1/8/2015,0,0,0,-60,-132
1/9/2015,55779,1/9/2015,0,5,0,0,0,0,0,1,0,0,1/9/2015,0,5,0,0,0,0,0,1,0,0,1/9/2015,18,0,38,6,-71
1/10/2015,59628,1/10/2015,0,6,1,0,0,0,0,0,1,0,1/10/2015,0,6,1,0,0,0,0,0,1,0,1/10/2015,0,30,0,-49,-88
1/11/2015,40814,1/11/2015,0,7,1,0,0,0,0,0,0,1,1/11/2015,0,7,1,0,0,0,0,0,0,1,1/11/2015,0,30,0,28,-77
1/12/2015,46081,1/12/2015,0,1,0,1,0,0,0,0,0,0,1/12/2015,0,1,0,1,0,0,0,0,0,0,1/12/2015,91,0,0,39,17
1/13/2015,52056,1/13/2015,0,2,0,0,1,0,0,0,0,0,1/13/2015,0,2,0,0,1,0,0,0,0,0,1/13/2015,0,0,0,22,-82
