DATE,PRCP,SNWD,SNOW,TMAX,TMIN
4/1/14,0,0,0,156,39
4/2/14,0,0,0,122,56
4/3/14,18,0,0,194,78
4/4/14,53,0,0,83,44
4/5/14,0,0,0,122,44
4/6/14,0,0,0,161,22
4/7/14,132,0,0,117,61
4/8/14,86,0,0,178,78
4/9/14,0,0,0,161,72
4/10/14,0,0,0,144,56
4/11/14,0,0,0,239,133
4/12/14,0,0,0,228,100
4/13/14,0,0,0,250,122
4/14/14,0,0,0,239,150
4/15/14,180,0,0,172,6
4/16/14,13,0,0,94,-5
4/17/14,0,0,0,89,22
4/18/14,0,0,0,94,17
4/19/14,0,0,0,200,50
4/20/14,0,0,0,156,72
4/21/14,0,0,0,194,50
4/22/14,3,0,0,217,106
4/23/14,0,0,0,161,67
4/24/14,0,0,0,167,56
4/25/14,5,0,0,172,67
4/26/14,234,0,0,194,78
4/27/14,0,0,0,150,83
4/28/14,0,0,0,194,72
4/29/14,8,0,0,111,61
4/30/14,1262,0,0,111,50
5/1/14,30,0,0,256,106
5/2/14,0,0,0,211,133
5/3/14,20,0,0,217,122
5/4/14,5,0,0,183,122
5/5/14,0,0,0,211,100
5/6/14,0,0,0,217,111
5/7/14,0,0,0,206,100
5/8/14,104,0,0,150,117
5/9/14,10,0,0,172,128
5/10/14,94,0,0,283,139
5/11/14,8,0,0,278,156
5/12/14,0,0,0,294,178
5/13/14,0,0,0,228,117
5/14/14,3,0,0,217,111
5/15/14,38,0,0,217,144
5/16/14,391,0,0,200,144
5/17/14,0,0,0,211,117
5/18/14,0,0,0,194,106
5/19/14,0,0,0,222,94
5/20/14,0,0,0,256,117
5/21/14,0,0,0,233,172
5/22/14,61,0,0,194,150
5/23/14,231,0,0,217,133
5/24/14,102,0,0,211,139
5/25/14,0,0,0,267,128
5/26/14,0,0,0,300,189
5/27/14,0,0,0,300,178
5/28/14,0,0,0,178,122
5/29/14,0,0,0,189,106
5/30/14,0,0,0,239,128
5/31/14,13,0,0,228,139
6/1/14,0,0,0,250,128
6/2/14,0,0,0,267,150
6/3/14,30,0,0,306,183
6/4/14,0,0,0,278,172
6/5/14,221,0,0,244,161
6/6/14,0,0,0,244,161
6/7/14,0,0,0,278,156
6/8/14,0,0,0,300,189
6/9/14,406,0,0,228,172
6/10/14,0,0,0,250,183
6/11/14,5,0,0,211,161
6/12/14,18,0,0,228,156
6/13/14,325,0,0,261,183
6/14/14,0,0,0,233,156
6/15/14,0,0,0,267,150
6/16/14,0,0,0,272,172
6/17/14,0,0,0,317,217
6/18/14,0,0,0,317,244
6/19/14,38,0,0,250,200
6/20/14,0,0,0,261,178
6/21/14,0,0,0,256,167
6/22/14,0,0,0,261,178
6/23/14,0,0,0,272,183
6/24/14,0,0,0,272,200
6/25/14,20,0,0,294,211
6/26/14,18,0,0,294,211
6/27/14,0,0,0,283,194
6/28/14,0,0,0,306,189
6/29/14,0,0,0,283,200
6/30/14,0,0,0,289,206
7/1/14,0,0,0,317,222
7/2/14,244,0,0,328,222
7/3/14,452,0,0,306,206
7/4/14,36,0,0,233,183
7/5/14,0,0,0,272,172
7/6/14,0,0,0,289,189
7/7/14,10,0,0,322,222
7/8/14,99,0,0,328,217
7/9/14,23,0,0,311,217
7/10/14,0,0,0,283,222
7/11/14,0,0,0,300,217
7/12/14,0,0,0,294,217
7/13/14,8,0,0,283,222
7/14/14,117,0,0,289,222
7/15/14,330,0,0,300,222
7/16/14,0,0,0,272,200
7/17/14,0,0,0,272,194
7/18/14,0,0,0,272,178
7/19/14,0,0,0,244,200
7/20/14,0,0,0,267,189
